id,H,F
0,30.264150943396224,419151373.6587209
1,29.73584905660377,285543088.74548084
2,29.245283018867923,164897534.48892322
3,28.754716981132077,100614611.3356771
4,28.22641509433962,58109704.3325294
5,27.77358490566037,35452792.98723556
6,27.245283018867923,17359008.63502488
7,26.754716981132077,9487745.92165528
8,26.264150943396224,4396307.132430487
9,25.73584905660377,1928207.3088800088
10,25.245283018867923,893467.3857028035
11,24.754716981132077,437429.4975669647
12,24.264150943396224,226277.7283510259
13,23.77358490566038,104849.60276910808
14,23.245283018867923,60555.61250412135
15,22.716981132075468,36952.71866244278
16,22.264150943396224,25168.47777267089
17,21.77358490566038,17144.01769077675
18,21.245283018867923,13038.33484896221
19,20.71698113207547,8882.24789143087
20,20.22641509433962,6392.679459397288
21,19.77358490566038,4600.424049623235
22,19.245283018867923,3498.7055127968283
23,18.75471698113208,2383.214024621628
24,18.264150943396228,1536.4354536876335
25,17.77358490566038,937.4782739733416
26,17.20754716981132,604.5088887160967
27,16.79245283018868,411.6879377033108
28,16.264150943396224,237.76928638519823
29,15.735849056603772,137.32302642510052
30,15.245283018867926,79.30231680809611
31,14.792452830188685,41.01800342632922
32,14.264150943396228,21.220390125151013
33,13.773584905660378,7.889705877895489
34,13.283018867924532,6.697828141429511
35,12.716981132075473,4.087625471574754
36,12.226415094339623,2.114486131370536
37,11.698113207547172,2.2373846799093875
38,11.245283018867926,2.0066569165797907
